"30","14038 2nd Avenue, Parker, AZ, 85344","Match","Exact","14038 2ND AVE, PARKER, AZ, 85344","-114.31158,34.12738","638082858","L","04","012","940300","4029"
"31","8870 Mary's Drive, Flagstaff, AZ, 86004","Match","Non_Exact","8870 MARYS DR, FLAGSTAFF, AZ, 86004","-111.53121,35.267605","638060242","R","04","005","001301","1055"
"32","3443 South Richey Boulevard, Tucson, AZ, 85713","Match","Non_Exact","3443 S RICHEY AVE, TUCSON, AZ, 85713","-110.91683,32.184532","638279158","L","04","019","002100","1037"
"33","919 West Thatcher Boulevard, Safford, AZ, 85546","Match","Exact","919 W THATCHER BLVD, SAFFORD, AZ, 85546","-109.71818,32.83485","128031174","R","04","009","961300","2012"
"34","1705 East Hanna Road, Eloy, AZ, 85131","Match","Non_Exact","1705 W HANNA RD, ELOY, AZ, 85131","-111.58596,32.82117","129188347","R","04","021","002001","1185"
"35"," North Eyman Boulevard, Florence, AZ, 85132","No_Match"
"36","37900 North 45th Avenue, Phoenix, AZ, 85086","No_Match"
"37"," Arizona 366, Safford, AZ, 85546","No_Match"
"38","8901 South Wilmot Road, Tucson, AZ, 85756","Match","Exact","8901 S WILMOT RD, TUCSON, AZ, 85756","-110.85796,32.09013","121399436","R","04","019","410503","1042"
"39","19432 East Diversion Dam Road, Florence, AZ, 85132","Match","Exact","19432 E DIVERSION DAM RD, FLORENCE, AZ, 85132","-111.35874,33.03846","129172306","R","04","021","000803","1095"
"40","855 Arizona 79, Florence, AZ, 85132","No_Match"
"41","3250 North Pinal Parkway Avenue, Florence, AZ, 85132","No_Match"
"42","10755 North Fort McDowell Road, Fort McDowell, AZ, 85264","Match","Exact","10755 N FORT MCDOWELL RD, FORT MCDOWELL, AZ, 85264","-111.67788,33.57977","642857910","R","04","013","941200","1054"
"43","8490 Arizona 95, Mohave Valley, AZ, 86440","No_Match"
"44","1100 East South Street, Globe, AZ, 85501","Match","Exact","1100 E SOUTH ST, GLOBE, AZ, 85501","-110.77632,33.39304","159305784","R","04","007","001200","2018"
"45","1425 East South Street, Globe, AZ, 85501","Match","Non_Exact","1425 SOUTH ST, GLOBE, AZ, 85501","-110.769005,33.39545","159336574","L","04","007","001200","1025"
"46","749 West Seed Farm Road, Sacaton, AZ, 85147","No_Match"
"47","523 South 10th Avenue, Safford, AZ, 85546","Match","Exact","523 S 10TH AVE, SAFFORD, AZ, 85546","-109.71882,32.834084","638082077","L","04","009","961300","2012"
"48","800 Coronado Boulevard, Clifton, AZ, 85533","Match","Exact","800 CORONADO BLVD, CLIFTON, AZ, 85533","-109.29652,33.038048","638082312","L","04","011","960100","1335"
"49"," , First Mesa, AZ, 86042","No_Match"
"50","108 High View Drive, Peach Springs, AZ, 86434","No_Match"
"51","11590 West Silverbell Road, Marana, AZ, 85653","No_Match"
"52","3324 West Gibson Lane, Phoenix, AZ, 85009","Match","Exact","3324 W GIBSON LN, PHOENIX, AZ, 85009","-112.13432,33.42679","642854404","L","04","013","114703","2004"
"53","3131 West Durango Street, Phoenix, AZ, 85009","Match","Exact","3131 W DURANGO ST, PHOENIX, AZ, 85009","-112.126205,33.42966","128202272","L","04","013","114703","2002"
"54","2939 West Durango Street, Phoenix, AZ, 85009","Match","Exact","2939 W DURANGO ST, PHOENIX, AZ, 85009","-112.122284,33.4296","128212191","L","04","013","114703","2001"
"55","201 South 4th Avenue, Phoenix, AZ, 85003","Match","Exact","201 S 4TH AVE, PHOENIX, AZ, 85003","-112.07891,33.445976","128212114","L","04","013","114100","1052"
"56","3445 West Durango Street, Phoenix, AZ, 85009","Match","Exact","3445 W DURANGO ST, PHOENIX, AZ, 85009","-112.13356,33.429653","638349111","L","04","013","114703","2003"
"57","3250 West Lower Buckeye Road, Phoenix, AZ, 85009","Match","Exact","3250 W LOWER BUCKEYE RD, PHOENIX, AZ, 85009","-112.13232,33.422474","638286401","R","04","013","114703","2005"
"58","225 West Madison Street, Phoenix, AZ, 85003","Match","Exact","225 W MADISON ST, PHOENIX, AZ, 85003","-112.076744,33.446056","128212118","L","04","013","114100","1053"
"59","3127 West Gibson Lane, Phoenix, AZ, 85009","Match","Exact","3127 W GIBSON LN, PHOENIX, AZ, 85009","-112.122986,33.427143","642856368","L","04","013","114703","2001"
"60","3127 West Gibson Lane, Phoenix, AZ, 85009","Match","Exact","3127 W GIBSON LN, PHOENIX, AZ, 85009","-112.122986,33.427143","642856368","L","04","013","114703","2001"
"61","3127 West Gibson Lane, Phoenix, AZ, 85009","Match","Exact","3127 W GIBSON LN, PHOENIX, AZ, 85009","-112.122986,33.427143","642856368","L","04","013","114703","2001"
"62","501 West Highway 66, Kingman, AZ, 86401","No_Match"
"63","300 West Andy Devine Avenue, Kingman, AZ, 86401","Match","Exact","300 W ANDY DEVINE AVE, KINGMAN, AZ, 86401","-114.0605,35.189747","638083869","R","04","015","953602","1029"
"64","3500 Arizona 95, Lake Havasu City, AZ, 86404","Match","Exact","3500 OLD STATE HWY 95, LAKE HAVASU CITY, AZ, 86404","-114.36681,34.538864","190278032","R","04","015","952400","2069"
"65","100 Arizona 77, Holbrook, AZ, 86025","No_Match"
